Model,Survivor Rate,Avg Cycle Usage,Sample Size,Window Size,StateNum,Probability Cut Off
12maxto12max,0.951675828,0.204409097,3000,12,10,0.01
12maxto12max,0.952515808,0.210458507,3000,12,13,0.01
12maxto12max,0.951765883,0.219790877,3000,12,15,0.01
12maxto12max,0.955092768,0.203584053,3000,12,8,0.01
12maxto12max,0.936691313,0.437347304,3000,12,10,0.05
12maxto12max,0.933815366,0.446444047,3000,12,13,0.05
12maxto12max,0.930829142,0.453621111,3000,12,15,0.05
12maxto12max,0.939115186,0.427919031,3000,12,8,0.05
12maxto12max,0.864931272,0.610292833,3000,12,10,0.15
12maxto12max,0.857603237,0.623647614,3000,12,13,0.15
12maxto12max,0.85371598,0.62858134,3000,12,15,0.15
12maxto12max,0.872808986,0.600125415,3000,12,8,0.15
12maxto12max,0.901027829,0.546090302,3000,12,10,0.1
12maxto12max,0.89497813,0.556232904,3000,12,13,0.1
12maxto12max,0.89326263,0.560356007,3000,12,15,0.1
12maxto12max,0.909118158,0.538012667,3000,12,8,0.1
1maxto12max,0.91041898,0.154654689,3000,12,10,0.01
1maxto12max,0.920702539,0.150688614,3000,12,13,0.01
1maxto12max,0.923398823,0.149233559,3000,12,15,0.01
1maxto12max,0.89957224,0.163848577,3000,12,8,0.01
1maxto12max,0.935929176,0.381158902,3000,12,10,0.05
1maxto12max,0.93358506,0.38559169,3000,12,13,0.05
1maxto12max,0.932391512,0.387700805,3000,12,15,0.05
1maxto12max,0.938774053,0.370506367,3000,12,8,0.05
1maxto12max,0.869713353,0.598592112,3000,12,10,0.15
1maxto12max,0.862928596,0.607605458,3000,12,13,0.15
1maxto12max,0.859379803,0.6130245,3000,12,15,0.15
1maxto12max,0.876507422,0.586613771,3000,12,8,0.15
1maxto12max,0.904899317,0.524182688,3000,12,10,0.1
1maxto12max,0.898710525,0.536155128,3000,12,13,0.1
1maxto12max,0.897517149,0.537625845,3000,12,15,0.1
1maxto12max,0.907050291,0.517524916,3000,12,8,0.1
12PrevAvgto12max,0.822611464,0.179995028,3000,12,10,0.01
12PrevAvgto12max,0.880766427,0.198883524,3000,12,13,0.01
12PrevAvgto12max,0.871130626,0.189149222,3000,12,15,0.01
12PrevAvgto12max,0.810581576,0.198634086,3000,12,8,0.01
12PrevAvgto12max,0.930292407,0.38255422,3000,12,10,0.05
12PrevAvgto12max,0.940143679,0.398610786,3000,12,13,0.05
12PrevAvgto12max,0.937462913,0.405091127,3000,12,15,0.05
12PrevAvgto12max,0.926251223,0.374874834,3000,12,8,0.05
12PrevAvgto12max,0.874436353,0.604101134,3000,12,10,0.15
12PrevAvgto12max,0.868394953,0.608902881,3000,12,13,0.15
12PrevAvgto12max,0.866019593,0.612358369,3000,12,15,0.15
12PrevAvgto12max,0.876887055,0.596006896,3000,12,8,0.15
12PrevAvgto12max,0.903165408,0.530649205,3000,12,10,0.1
12PrevAvgto12max,0.901072678,0.538297612,3000,12,13,0.1
12PrevAvgto12max,0.903144425,0.538349479,3000,12,15,0.1
12PrevAvgto12max,0.91112548,0.520786482,3000,12,8,0.1
12RealAvgto12max,0.877879002,0.231403009,3000,12,10,0.01
12RealAvgto12max,0.941838524,0.242109022,3000,12,13,0.01
12RealAvgto12max,0.958284943,0.24961742,3000,12,15,0.01
12RealAvgto12max,0.885657378,0.247169325,3000,12,8,0.01
12RealAvgto12max,0.949403816,0.402570034,3000,12,10,0.05
12RealAvgto12max,0.955979354,0.431446092,3000,12,13,0.05
12RealAvgto12max,0.951013069,0.446042751,3000,12,15,0.05
12RealAvgto12max,0.94721995,0.3921323,3000,12,8,0.05
12RealAvgto12max,0.87858512,0.605041296,3000,12,10,0.15
12RealAvgto12max,0.874824351,0.612024548,3000,12,13,0.15
12RealAvgto12max,0.871791895,0.618134185,3000,12,15,0.15
12RealAvgto12max,0.879264048,0.596325177,3000,12,8,0.15
12RealAvgto12max,0.905659247,0.535315283,3000,12,10,0.1
12RealAvgto12max,0.904783768,0.545884438,3000,12,13,0.1
12RealAvgto12max,0.905544563,0.551965755,3000,12,15,0.1
12RealAvgto12max,0.922744762,0.524727324,3000,12,8,0.1
